conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,hidrogenēšanas iekārtas operators,"hidrogenēto tauku ražošanas operators
hidrogenēšanas iekārtas operatore
hidrogenēšanas iekārtas operators",,released,2016-07-05T17:03:52Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Hidrogenēšanas iekārtu operatori pārrauga aprīkojumu, ar kuru apstrādā bāzes eļļas margarīna ražošanai un produktu saīsināšanai.",8160.39
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,makaronu ražošanas operators,"makaronu ražošanas operators
makaronu ražošanas iekārtas operatore
makaronu ražošanas iekārtas operators
makaronu ražošanas operatore",,released,2016-07-05T16:59:37Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Makaronu ražošanas operatori ražo sausos makaronu izstrādājumus. Viņi izkrauj izejvielas no uzkrāšanas tvertnēm un sastāvdaļu piegādes sistēmām. Operatori sajauc, saspiež un izņem makaronus, lai sasniegtu vēlamo makaronu sausuma līmeni.",8160.46
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,tabakas izstrādājumu veikala vadītājs,"cigāru veikala vadītājs
tabakas izstrādājumu veikala vadītāja
tabakas izstrādājumu veikala vadītājs",,released,2016-07-05T17:19:23Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Tabakas izstrādājumu veikalu vadītāji ir atbildīgi par darbībām specializētos veikalos un to darbiniekiem.,1420.4.42
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"iekārtu, aprīkojuma un preču nomas pārstāvis","citu mašīnu, tehnikas, aprīkojuma un materiālo preču nomas pārstāvis
citu mašīnu, tehnikas, aprīkojuma un materiālo preču nomas pārstāve",,released,2016-07-05T17:20:20Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Iekārtu, aprīkojuma un preču nomas pārstāvji ir atbildīgi par iekārtu izīrēšanu un konkrētu izmantošanas periodu noteikšanu. Viņi reģistrē darījumus, apdrošināšanas polises un maksājumus.",5249.2.1
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,ieguves rūpniecības kartogrāfs,"ieguves rūpniecības kartogrāfe
ieguves rūpniecības kartogrāfs",,released,2016-07-05T17:09:16Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Ieguves rūpniecības kartogrāfi sagatavo un uztur izrakteņu ieguvju plānus, ievērojot atbilstību tiesību aktu un pārvaldības prasībām. Viņi veic uzskaiti par ieguves darbībām un rūdas vai minerālu ieguves faktisko progresu.",2165.4.2
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,pārtikas drošuma speciālists,"pārtikas drošuma speciāliste
pārtikas drošuma speciālists",,released,2017-02-02T10:19:58Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Pārtikas drošuma speciālisti organizē procesus un īsteno procedūras, lai nepieļautu problēmas ar pārtikas nekaitīgumu. Viņi ievēro atbilstību noteikumiem.",2263.2
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,lauksaimniecības tehnikas tehniķis,"lauksaimniecības tehnikas tehniķe
sauszemes tehnikas tehniķis
lauksaimniecības tehnikas tehniķis
sauszemes tehnikas tehniķe",,released,2016-10-17T15:09:30Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Lauksaimniecības tehnikas tehniķi apkopj lauksaimniecības iekārtas un aprīkojumu, veic to kapitālo remontu un vispārējo remontu.",7233.8
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,autobusa vadītājs,"autobusa vadītāja
autobusa vadītājs",,released,2017-01-17T14:31:26Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Autobusu vadītāji izmanto autobusus, iekasē braukšanas maksu un rūpējas par pasažieriem.",8331.1
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,gaļas un gaļas produktu importa un eksporta vadītājs,"gaļas un gaļas produktu importa un eksporta vadītājs
gaļas un gaļas produktu importa un eksporta vadītāja",,released,2016-07-05T17:29:24Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Gaļas un gaļas produktu importa un eksporta vadītāji nosaka un uztur pārrobežu uzņēmējdarbības procedūras, koordinējot iekšējās un ārējās puses.",1324.3.2.22
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,mājokļu politikas speciālists,"mājokļu politikas referents
mājokļu politikas referente",,released,2017-01-17T14:48:59Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Mājokļu politikas speciālisti pēta, analizē un izstrādā mājokļu politiku, lai nodrošinātu visiem cenas ziņā pieejamus un atbilstošus mājokļus. Viņi īsteno šo politiku, lai uzlabotu sociālo mājokļu situāciju, veicot tādus pasākumus kā mājokļu par pieņemamu cenu būve, atbalsts cilvēkiem nekustamā īpašuma iegādē un apstākļu uzlabošana esošajos mājokļos. Mājokļu politikas speciālisti cieši sadarbojas ar partneriem, ārējām organizācijām vai citām ieinteresētajām personām un regulāri sniedz tiem jaunāko informāciju.",2422.10.8
